TICKER;DATE;CLOSE;VOL
Система ао;05.01.2015;12,25;16528100
Система ао;06.01.2015;12,37;11048000
Система ао;08.01.2015;12,6;20593200
Система ао;09.01.2015;12,61;10607500
Система ао;12.01.2015;12,13;10072400
Система ао;13.01.2015;12,25;11034800
Система ао;14.01.2015;12,6;13316400
Система ао;15.01.2015;12,54;13584500
Система ао;16.01.2015;12,43;8734600
Система ао;19.01.2015;12,48;7672200
Система ао;20.01.2015;12,5;6353500
Система ао;21.01.2015;12,63;10612400
Система ао;22.01.2015;13,6;56718600
Система ао;23.01.2015;13,62;26825100
Система ао;26.01.2015;12,9;13836000
Система ао;27.01.2015;12,72;23127200
Система ао;28.01.2015;12,4;19919600
Система ао;29.01.2015;12,74;19974400
Система ао;30.01.2015;13,33;23638600
Система ао;02.02.2015;14,05;32286300
Система ао;03.02.2015;15,4;58529800
Система ао;04.02.2015;16,75;51580100
Система ао;05.02.2015;16,2;53542400
Система ао;06.02.2015;16,5;26629800
Система ао;09.02.2015;17,6;73765700
Система ао;10.02.2015;17,84;35542900
Система ао;11.02.2015;17,85;37292900
Система ао;12.02.2015;18,38;35793100
Система ао;13.02.2015;18,85;25005500
Система ао;16.02.2015;20,05;38490400
Система ао;17.02.2015;19,1;60090500
Система ао;18.02.2015;18,82;23611600
Система ао;19.02.2015;18,17;26988400
Система ао;20.02.2015;18,28;13724900
Система ао;24.02.2015;17,32;21569100
Система ао;25.02.2015;17,71;15528000
Система ао;26.02.2015;18,03;20865300
Система ао;27.02.2015;18,32;13329400
Система ао;02.03.2015;18,12;11598500
Система ао;03.03.2015;18;13770900
Система ао;04.03.2015;17,6;11156400
Система ао;05.03.2015;17,41;11604400
Система ао;06.03.2015;16,9;13899000
Система ао;10.03.2015;15,7;27578100
Система ао;11.03.2015;15,06;25976100
Система ао;12.03.2015;15,31;28107600
Система ао;13.03.2015;14,83;15556100
Система ао;16.03.2015;14,89;11255600
Система ао;17.03.2015;16;42692600
Система ао;18.03.2015;16,52;49676600
Система ао;19.03.2015;16,35;40970500
Система ао;20.03.2015;16,6;20149700
Система ао;23.03.2015;16,59;8527600
Система ао;24.03.2015;16,89;17202600
Система ао;25.03.2015;17,6;24498800
Система ао;26.03.2015;17,04;26591000
Система ао;27.03.2015;17,3;9700300
Система ао;30.03.2015;17,4;13542700
Система ао;31.03.2015;17,9;17961200
Система ао;01.04.2015;17,75;12653600
Система ао;02.04.2015;17,85;21043800
Система ао;03.04.2015;17,65;6113700
Система ао;06.04.2015;17,7;6882900
Система ао;07.04.2015;17,23;14192400
Система ао;08.04.2015;16,61;16864900
Система ао;09.04.2015;16,3;21894200
Система ао;10.04.2015;16,72;11066900
Система ао;13.04.2015;16,68;10249300
Система ао;14.04.2015;16,37;8394000
Система ао;15.04.2015;17,12;18057600
Система ао;16.04.2015;17,25;20880800
Система ао;17.04.2015;17,15;11598000
Система ао;20.04.2015;16,44;21062800
Система ао;21.04.2015;16,43;5001500
Система ао;22.04.2015;16,25;10607800
Система ао;23.04.2015;15,9;14604400
Система ао;24.04.2015;16,06;10023400
Система ао;27.04.2015;16,05;4653200
Система ао;28.04.2015;16,12;15851300
Система ао;29.04.2015;16;8177400
Система ао;30.04.2015;15,96;10279900
Система ао;05.05.2015;16,3;9937100
Система ао;06.05.2015;16,25;7002700
Система ао;07.05.2015;16,11;5088500
Система ао;08.05.2015;16,31;3955700
Система ао;12.05.2015;16,2;4312200
Система ао;13.05.2015;16,28;8714000
Система ао;14.05.2015;16,58;7355200
Система ао;15.05.2015;16,78;14770700
Система ао;18.05.2015;17;14298500
Система ао;19.05.2015;16,9;8744400
Система ао;20.05.2015;16,85;14088100
Система ао;21.05.2015;16,98;6926600
Система ао;22.05.2015;17;5316800
Система ао;25.05.2015;16,86;3081500
Система ао;26.05.2015;16,91;4946800
Система ао;27.05.2015;16,97;11028400
Система ао;28.05.2015;16,96;3052500
Система ао;29.05.2015;16,9;8917700
Система ао;01.06.2015;16,87;6797100
Система ао;02.06.2015;17,1;9544400
Система ао;03.06.2015;16,93;17673300
Система ао;04.06.2015;17,22;21129500
Система ао;05.06.2015;17,67;16517300
Система ао;08.06.2015;17,76;14996300
Система ао;09.06.2015;17,96;7121000
Система ао;10.06.2015;17,82;14504400
Система ао;11.06.2015;17,92;11073600
Система ао;15.06.2015;18,51;11487300
Система ао;16.06.2015;18,38;14146800
Система ао;17.06.2015;18,42;5261500
Система ао;18.06.2015;18,17;9487200
Система ао;19.06.2015;17,9;6674700
Система ао;22.06.2015;18,32;7506600
Система ао;23.06.2015;18,88;17350500
Система ао;24.06.2015;19,2;18921300
Система ао;25.06.2015;19,03;10997600
Система ао;26.06.2015;19,9;24378900
Система ао;29.06.2015;19,75;12582900
Система ао;30.06.2015;19,84;8331400
Система ао;01.07.2015;19,64;7918900
Система ао;02.07.2015;19,75;5963600
Система ао;03.07.2015;19,53;2812500
Система ао;06.07.2015;19,17;9509100
Система ао;07.07.2015;18,25;18177800
Система ао;08.07.2015;18,13;21657200
Система ао;09.07.2015;18,6;16577000
Система ао;10.07.2015;19,02;9748100
Система ао;13.07.2015;19,2;6322700
Система ао;14.07.2015;19,15;9622000
Система ао;15.07.2015;19,12;7049700
Система ао;16.07.2015;19,74;13899400
Система ао;17.07.2015;19,77;5372300
Система ао;20.07.2015;20,14;9213300
Система ао;21.07.2015;20,3;11005900
Система ао;22.07.2015;20,25;11413000
Система ао;23.07.2015;20,22;6529300
Система ао;24.07.2015;20,07;7930400
Система ао;27.07.2015;19,89;14955700
Система ао;28.07.2015;20,19;11697400
Система ао;29.07.2015;20,4;5938800
Система ао;30.07.2015;20,39;13136100
Система ао;31.07.2015;21,09;14613900
Система ао;03.08.2015;20,85;4110600
Система ао;04.08.2015;20,87;5447700
Система ао;05.08.2015;21,04;9215400
Система ао;06.08.2015;20,96;7232600
Система ао;07.08.2015;21,13;3874700
Система ао;10.08.2015;21,05;4108900
Система ао;11.08.2015;21;4801000
Система ао;12.08.2015;20,98;3400700
Система ао;13.08.2015;21,05;4217500
Система ао;14.08.2015;20,57;5608000
Система ао;17.08.2015;20,63;7366000
Система ао;18.08.2015;20,64;8753700
Система ао;19.08.2015;20,3;3511800
Система ао;20.08.2015;20,38;5520600
Система ао;21.08.2015;19,12;12173100
Система ао;24.08.2015;19,1;25085400
Система ао;25.08.2015;20;8845400
Система ао;26.08.2015;19,8;4366100
Система ао;27.08.2015;19,96;3804500
Система ао;28.08.2015;19,95;3942900
Система ао;31.08.2015;20,14;6173100
Система ао;01.09.2015;19,77;4728600
Система ао;02.09.2015;19,82;4535900
Система ао;03.09.2015;19,85;15292700
Система ао;04.09.2015;19,61;7480300
Система ао;07.09.2015;19,65;3682500
Система ао;08.09.2015;19,87;5328600
Система ао;09.09.2015;19,71;3822800
Система ао;10.09.2015;19,68;4902400
Система ао;11.09.2015;19,58;4389100
